date,workoutID,exercise,set1_reps,set1_weight,set2_reps,set2_weight,set3_reps,set3_weight,set4_reps,set4_weight,set5_reps,set5_weight,rest,instructions,category
2025-03-19,Day1,Barbell Full Squat,8-10,135,8-10,145,8-10,155,N/A,N/A,N/A,N/A,60s,"Keep chest up, drive through heels",LOWER
2025-03-19,Day1,Barbell Glute Bridge,12-15,65,12-15,75,12-15,85,N/A,N/A,N/A,N/A,45s,"Squeeze glutes at top",LOWER
2025-03-19,Day1,Barbell Banded Romanian Deadlift,8-10,95,8-10,105,8-10,115,N/A,N/A,N/A,N/A,60s,"Maintain neutral spine",LOWER
2025-03-19,Day1,Band Split Squat,"10 each leg","(2x15)DB","10 each leg","(2x20)DB","10 each leg","(2x25)DB",N/A,N/A,N/A,N/A,60s,"Keep torso upright",LOWER
2025-03-19,Day1,Barbell Hip Thrust,"10-12",95,"10-12",115,"10-12",135,N/A,N/A,N/A,N/A,60s,"Drive through heels, hold top",LOWER
2025-03-19,Day1,Band Lateral Walk,"15 each side","Light Band","15 each side","Light Band","15 each side","Light Band",N/A,N/A,N/A,N/A,30s,"Stay low, keep tension",LOWER
2025-03-19,Day1,Plank Holds,"30s",Bodyweight,"30s",Bodyweight,"30s",Bodyweight,N/A,N/A,N/A,N/A,30s,"Maintain neutral spine",LOWER
2025-03-19,Day1,Treadmill HIIT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"30s rest","30s sprint intervals for 10 min",LOWER
2025-03-20,Day2,Barbell Military Press,8-10,55,8-10,65,8-10,75,N/A,N/A,N/A,N/A,60s,"Elbows slightly forward",UPPER
2025-03-20,Day2,Assisted Pull up,8-10,"Bodyweight/Assist",8-10,"Bodyweight/Assist",8-10,"Bodyweight/Assist",N/A,N/A,N/A,N/A,60s,"Full range of motion",UPPER
2025-03-20,Day2,Dumbbell Lateral Raise,12,8,12,10,12,12,N/A,N/A,N/A,N/A,45s,"Lead with elbows",UPPER
2025-03-20,Day2,Barbell Bent Over Row,8-10,65,8-10,75,8-10,85,N/A,N/A,N/A,N/A,60s,"Neutral spine, pull elbows back",UPPER
2025-03-20,Day2,Push-Up,AMRAP,Bodyweight,AMRAP,Bodyweight,AMRAP,Bodyweight,N/A,N/A,N/A,N/A,45s,"Core tight, full depth",UPPER
2025-03-20,Day2,Dumbbell Biceps Curl,"10-12",15,"10-12",20,"10-12",25,N/A,N/A,N/A,N/A,45s,"Elbows at sides",UPPER
2025-03-20,Day2,Band Bicycle Crunch,15,Bodyweight,15,Bodyweight,15,Bodyweight,N/A,N/A,N/A,N/A,30s,"Twist from core",UPPER
2025-03-20,Day2,Jump Rope Intervals,"1 min",Bodyweight,"1 min",Bodyweight,"1 min",Bodyweight,N/A,N/A,N/A,N/A,30s,"5 rounds, rest 30s",UPPER
2025-03-21,Day3,Barbell Deadlift,"6-8",115,"6-8",135,"6-8",155,N/A,N/A,N/A,N/A,90s,"Flat back, engage glutes",LOWER
2025-03-21,Day3,Barbell Lunge,"8 each leg","(2x15)DB","8 each leg","(2x20)DB","8 each leg","(2x25)DB",N/A,N/A,N/A,N/A,60s,"Step back, upright torso",LOWER
2025-03-21,Day3,Band Kickback,"12 each leg",20,"12 each leg",25,"12 each leg",30,N/A,N/A,N/A,N/A,45s,"Slow, controlled",LOWER
2025-03-21,Day3,Assisted Bulgarian Split Squat,"8 each leg","(2x15)DB","8 each leg","(2x20)DB","8 each leg","(2x25)DB",N/A,N/A,N/A,N/A,60s,"Knee behind toes",LOWER
2025-03-21,Day3,Barbell Front Step Up,"10 each leg","(2x15)DB","10 each leg","(2x20)DB","10 each leg","(2x25)DB",N/A,N/A,N/A,N/A,60s,"Drive through heel",LOWER
2025-03-21,Day3,Assisted Inverse Leg Curl,"10-12",50,"10-12",60,"10-12",70,N/A,N/A,N/A,N/A,60s,"No hip lift",LOWER
2025-03-21,Day3,Weighted Crunch + Flutter Kicks,"(10+20)","10 lb plate","(10+20)","10 lb plate","(10+20)","10 lb plate",N/A,N/A,N/A,N/A,30s,"Crunch then flutter kicks",LOWER
2025-03-21,Day3,Rowing Sprints,"2 min",N/A,"2 min",N/A,"2 min",N/A,N/A,N/A,N/A,N/A,"1 min","High intensity, 3 rounds",LOWER
2025-03-22,Day4,Brisk Walk/Light Jog,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"30 min","Easy pace",RECOVERY
2025-03-22,Day4,Barbell Glute Bridge,15,Bodyweight,15,Bodyweight,N/A,N/A,N/A,N/A,N/A,N/A,30s,"Squeeze glutes",RECOVERY
